rowname	ATRX_fpkm	TERT_fpkm	DAXX_fpkm
BS_014EVM2D	37.92	0	13.95
BS_02NZT8CE	49.23	0	12.69
BS_03FT4S8B	46.98	0.03	22.32
BS_0448A413	63.08	0.68	17.99
BS_044XZ8ST	39.31	0	12.85
BS_052PZFMK	19.99	0.01	22.74
BS_063ERW0R	55.29	0.04	13.73
BS_06AMMCXR	34.87	0	17.71
BS_06XH7EVF	23.37	0	11.08
BS_07ANYSYQ	41.91	0.3	16.23
BS_09R7GDA7	33.16	0.01	16.1
BS_0C7VZC0A	74.92	0	21.48
BS_0BXY0F9N	24.62	0	10.92
BS_0RQ4P069	22.14	0	13.88
BS_0GDJQANN	32.13	0.05	9.62
BS_0HW7W7SD	61.19	0.62	13.37
BS_0J9SHHSC	49.19	0	14.77
BS_0QYS36NR	19.72	0.01	14.5
BS_0RF0EZTV	35.34	0	14.7
BS_0SCXXM6N	50.73	0	14.52
BS_0SPCTBZY	25.73	0.08	20.8
BS_0T17SY47	35.11	0.08	13.6
BS_0VRSD9V3	50.72	0.01	8.24
BS_0WQJP6ZG	30.97	0.76	12.51
BS_0WVJYM9R	32.36	0	11.05
BS_0X9EGHY2	46.63	0	12.78
BS_0XEG6SNV	54.96	0.07	22.34
BS_0Y66ZBWE	54.26	0	16.23
BS_1A6MQ9ZA	38.61	0	21.86
BS_1021ZGQT	60.78	0.1	15.49
BS_10APZRVT	36.29	0	11.66
BS_264RCK7G	56.61	0	14.89
BS_11WY983P	34.49	0.47	18.53
BS_13CGKADW	54.06	0	9.36
BS_15ETQ0E4	32.63	2.05	20.13
BS_1607397Q	53.96	60.95	52.08
BS_17WYVEEC	42.99	0	12.28
BS_196BBNEJ	29.41	0.02	17.75
BS_1D6PZNKN	46.56	0.49	19.58
BS_1EBQ3T20	50.02	0.36	18.92
BS_1EN5V3XW	57.77	0	20.9
BS_1G3WYEN3	46.02	0.02	12.32
BS_1HFK0SXV	43.78	0.03	18.86
